_id,userId,tweetId,createdAt,favorites,text,replies,retweets,hashtag,location.latitude,location.longitude,sentimentScore.mixed,sentimentScore.negative,sentimentScore.neutral,sentimentScore.positive,sentimentScore.predominant,sentimentScore.createdAt,sentimentScore.updatedAt,political
5f823e7e19b7952e0028898d,1138589794940981248,1315066214595559424,Sat Oct 10 23:06:32 +0000 2020,0,"@Monik2542 @angelamrobledo @CorteSupremaJ @IvanCepedaCast @petrogustavo @PartidoFARC @AidaAvellaE Monik
Al expresidente y Exsenador Uribe x cambio de ley q será juzgado ya no tiene la casa x cárcel el proceso sigue, a esperar q pasa
Recuerde q la vida es como prisma!",0,0,Uribe,4.4446595,-75.2430012,0.00047191910562105477,0.7391852736473083,0.2543558180332184,0.005986897740513086,NEGATIVE,2020-10-10T23:06:38.459Z,2020-10-10T23:06:38.459Z,true
5f823f7919b7952e0028898f,737021024223547393,1315067269693792256,Sat Oct 10 23:10:44 +0000 2020,0,@Der_EinsameWolf @MankitsuK @petrogustavo @ProgIntl_ES Entonces me equivoco y no cuidas los ecosistemas y contra toda evidencia niegas el cambio climático y confías en que Uribe no debe ser condenado por soborno a testigos y fraude procesal!,0,0,Uribe,4.5655504,-74.0056583,0.4585568606853485,0.22769992053508759,0.3076571822166443,0.006086001638323069,MIXED,2020-10-10T23:10:49.755Z,2020-10-10T23:10:49.755Z,true
5f823fbb19b7952e00288991,359780996,1315067548262699015,Sat Oct 10 23:11:50 +0000 2020,0,"Mi Ex, soberana Petrista, después de meeeeeses sin escribir, me escribió hoy, me hizo muy feliz, retransmito el mensaje: “ Uribista Gran Hijo de Puta: Púdrase”...mierda toda está saliendo bien. Dios Primero.  Viva Uribe, Viva Colombia. Mamertos hijueputas me encanta que les arda.",0,0,Uribe,10.9799669,-74.8013085,0.0797339454293251,0.1534201204776764,0.1553269326686859,0.6115189790725708,POSITIVE,2020-10-10T23:11:55.690Z,2020-10-10T23:11:55.690Z,true
5f823ff219b7952e00288993,737021024223547393,1315067775199649793,Sat Oct 10 23:12:45 +0000 2020,0,"@Der_EinsameWolf @Wilmar910111 @petrogustavo Poner a Uribe y a petro a la misma altura es de mediocres, de los que no les gusta leer ni dar crédito a las luchas, por ejemplo petro , sí petro fue el que luchó para que existieran los debates de la parapolítica!",0,0,Uribe,4.5655504,-74.0056583,0.9866134524345398,0.0037386175245046616,0.008770795539021492,0.0008771067368797958,MIXED,2020-10-10T23:12:50.071Z,2020-10-10T23:12:50.071Z,true
5f82401e19b7952e00288994,363830773,1315067960306946050,Sat Oct 10 23:13:29 +0000 2020,0,🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,0,0,Uribe,4.4446595,-75.2430012,0.02049049735069275,0.033564984798431396,0.7536787986755371,0.19226568937301636,NEUTRAL,2020-10-10T23:13:34.049Z,2020-10-10T23:13:34.049Z,false
5f82405919b7952e00288996,1252724215729606656,1315068209217888261,Sat Oct 10 23:14:28 +0000 2020,0,"@LaRazaJlopez @VickyDavilaH Parcerito... Ojala pudiera tener el privilegio de conocer la personota que es Alvaro Uribe Velez, ademas de todo lo que dicen, es un ser humano extraordinario. Se lo aseguro.",0,0,Uribe,3.6707494,-76.98077577005347,0.00013704191951546818,0.0009249747963622212,0.12461046129465103,0.8743274807929993,POSITIVE,2020-10-10T23:14:33.711Z,2020-10-10T23:14:33.711Z,false
5f82406219b7952e00288998,196391831,1315068246207401984,Sat Oct 10 23:14:37 +0000 2020,0,"@CathyJuvinao Jamás pasará eso mientras existan personas como ud, @DCoronell @IvanCepedaCast @GustavoBolivar @petrogustavo ya que no respiran sin Uribe",0,0,Uribe,6.2443382,-75.573553,0.000029466867999872193,0.5521088242530823,0.43732044100761414,0.010541231371462345,NEGATIVE,2020-10-10T23:14:42.259Z,2020-10-10T23:14:42.259Z,true
5f82413c19b7952e0028899a,103433042,1315069161048072192,Sat Oct 10 23:18:15 +0000 2020,0,"@tomasuribeEco @ernestomaciast Recuerde q Uribe es un ex presidiario q quedo libre no por inocente, vienen muchos procesos. “Que supone uno”?",0,0,Uribe,4.5655504,-74.0056583,0.00003033835491805803,0.09077240526676178,0.8316528797149658,0.07754437625408173,NEUTRAL,2020-10-10T23:18:20.496Z,2020-10-10T23:18:20.496Z,true
5f82417619b7952e0028899c,1004745276,1315069404900552706,Sat Oct 10 23:19:13 +0000 2020,0,"Ese aparato Judicial fue desarrollado para dejar la impunidad como una sana costumbre, mientras que caen a diario las víctimas de la violencia en Colombia.",0,0,Uribe,4.594612,-75.55556445605987,0.000015869656635913998,0.4328128695487976,0.5155960321426392,0.05157521739602089,NEUTRAL,2020-10-10T23:19:18.290Z,2020-10-10T23:19:18.290Z,true
5f8241e019b7952e0028899e,289100399,1315069847877885952,Sat Oct 10 23:20:59 +0000 2020,0,JAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJAJJA @AlvaroUribeVel @realDonaldTrump en la misma mierda están estos dos,0,0,Uribe,11.544634,-72.9069784,0.001223674975335598,0.019014408811926842,0.7556616067886353,0.2241002768278122,NEUTRAL,2020-10-10T23:21:04.051Z,2020-10-10T23:21:04.051Z,true
